Metric,Amount,Currency,Date
Cash at bank,215000,NZD,2026-06-30
Accounts receivable,45000,NZD,2026-06-30
Accounts payable,20000,NZD,2026-06-30
Monthly revenue,40000,NZD,2026-06-30
Monthly expenses,61000,NZD,2026-06-30
Cash burn,21000,NZD,2026-06-30
Runway,11.43,NZD,2026-06-30
Cost of sales,24000,NZD,2026-06-30
Operating profit,-21000,NZD,2026-06-30
Current assets,260000,NZD,2026-06-30
Current liabilities,100000,NZD,2026-06-30
Total debt,140000,NZD,2026-06-30
Total equity,340000,NZD,2026-06-30
Cash at bank,200000,NZD,2026-07-31
Accounts receivable,43000,NZD,2026-07-31
Accounts payable,19000,NZD,2026-07-31
Monthly revenue,39000,NZD,2026-07-31
Monthly expenses,61000,NZD,2026-07-31
Cash burn,22000,NZD,2026-07-31
Runway,10.18,NZD,2026-07-31
Cost of sales,23400,NZD,2026-07-31
Operating profit,-22000,NZD,2026-07-31
Current assets,243000,NZD,2026-07-31
Current liabilities,98000,NZD,2026-07-31
Total debt,140000,NZD,2026-07-31
Total equity,325000,NZD,2026-07-31
Cash at bank,185000,NZD,2026-08-31
Accounts receivable,42000,NZD,2026-08-31
Accounts payable,18000,NZD,2026-08-31
Monthly revenue,38000,NZD,2026-08-31
Monthly expenses,61000,NZD,2026-08-31
Cash burn,23000,NZD,2026-08-31
Runway,9.09,NZD,2026-08-31
Cost of sales,22800,NZD,2026-08-31
Operating profit,-23000,NZD,2026-08-31
Current assets,227000,NZD,2026-08-31
Current liabilities,95000,NZD,2026-08-31
Total debt,140000,NZD,2026-08-31
Total equity,310000,NZD,2026-08-31
