Metric,Amount,Currency,Date,Context 1,Context 2,Context 3,Context 4,Context 5,Context 6,Context 7,Context 8,Context 9,Context 10,Context 11,Context 12,Context 13,Context 14,Context 15,Context 16,Context 17,Context 18,Context 19,Context 20,Context 21,Context 22,Context 23,Context 24,Context 25,Context 26,Context 27,Context 28,Context 29,Context 30,Context 31,Context 32,Context 33,Context 34,Context 35,Context 36,Context 37,Context 38,Context 39,Context 40,Context 41,Context 42,Context 43,Context 44,Context 45,Context 46,Context 47,Context 48,Context 49,Context 50,Context 51
Cash at bank,100001,NZD,2026-05-31,value-1-1,value-1-2,value-1-3,value-1-4,value-1-5,value-1-6,value-1-7,value-1-8,value-1-9,value-1-10,value-1-11,value-1-12,value-1-13,value-1-14,value-1-15,value-1-16,value-1-17,value-1-18,value-1-19,value-1-20,value-1-21,value-1-22,value-1-23,value-1-24,value-1-25,value-1-26,value-1-27,value-1-28,value-1-29,value-1-30,value-1-31,value-1-32,value-1-33,value-1-34,value-1-35,value-1-36,value-1-37,value-1-38,value-1-39,value-1-40,value-1-41,value-1-42,value-1-43,value-1-44,value-1-45,value-1-46,value-1-47,value-1-48,value-1-49,value-1-50,value-1-51
Monthly revenue,100002,NZD,2026-05-31,value-2-1,value-2-2,value-2-3,value-2-4,value-2-5,value-2-6,value-2-7,value-2-8,value-2-9,value-2-10,value-2-11,value-2-12,value-2-13,value-2-14,value-2-15,value-2-16,value-2-17,value-2-18,value-2-19,value-2-20,value-2-21,value-2-22,value-2-23,value-2-24,value-2-25,value-2-26,value-2-27,value-2-28,value-2-29,value-2-30,value-2-31,value-2-32,value-2-33,value-2-34,value-2-35,value-2-36,value-2-37,value-2-38,value-2-39,value-2-40,value-2-41,value-2-42,value-2-43,value-2-44,value-2-45,value-2-46,value-2-47,value-2-48,value-2-49,value-2-50,value-2-51
Cash at bank,100003,NZD,2026-05-31,value-3-1,value-3-2,value-3-3,value-3-4,value-3-5,value-3-6,value-3-7,value-3-8,value-3-9,value-3-10,value-3-11,value-3-12,value-3-13,value-3-14,value-3-15,value-3-16,value-3-17,value-3-18,value-3-19,value-3-20,value-3-21,value-3-22,value-3-23,value-3-24,value-3-25,value-3-26,value-3-27,value-3-28,value-3-29,value-3-30,value-3-31,value-3-32,value-3-33,value-3-34,value-3-35,value-3-36,value-3-37,value-3-38,value-3-39,value-3-40,value-3-41,value-3-42,value-3-43,value-3-44,value-3-45,value-3-46,value-3-47,value-3-48,value-3-49,value-3-50,value-3-51
Monthly revenue,100004,NZD,2026-05-31,value-4-1,value-4-2,value-4-3,value-4-4,value-4-5,value-4-6,value-4-7,value-4-8,value-4-9,value-4-10,value-4-11,value-4-12,value-4-13,value-4-14,value-4-15,value-4-16,value-4-17,value-4-18,value-4-19,value-4-20,value-4-21,value-4-22,value-4-23,value-4-24,value-4-25,value-4-26,value-4-27,value-4-28,value-4-29,value-4-30,value-4-31,value-4-32,value-4-33,value-4-34,value-4-35,value-4-36,value-4-37,value-4-38,value-4-39,value-4-40,value-4-41,value-4-42,value-4-43,value-4-44,value-4-45,value-4-46,value-4-47,value-4-48,value-4-49,value-4-50,value-4-51
Cash at bank,100005,NZD,2026-05-31,value-5-1,value-5-2,value-5-3,value-5-4,value-5-5,value-5-6,value-5-7,value-5-8,value-5-9,value-5-10,value-5-11,value-5-12,value-5-13,value-5-14,value-5-15,value-5-16,value-5-17,value-5-18,value-5-19,value-5-20,value-5-21,value-5-22,value-5-23,value-5-24,value-5-25,value-5-26,value-5-27,value-5-28,value-5-29,value-5-30,value-5-31,value-5-32,value-5-33,value-5-34,value-5-35,value-5-36,value-5-37,value-5-38,value-5-39,value-5-40,value-5-41,value-5-42,value-5-43,value-5-44,value-5-45,value-5-46,value-5-47,value-5-48,value-5-49,value-5-50,value-5-51
Monthly revenue,100006,NZD,2026-05-31,value-6-1,value-6-2,value-6-3,value-6-4,value-6-5,value-6-6,value-6-7,value-6-8,value-6-9,value-6-10,value-6-11,value-6-12,value-6-13,value-6-14,value-6-15,value-6-16,value-6-17,value-6-18,value-6-19,value-6-20,value-6-21,value-6-22,value-6-23,value-6-24,value-6-25,value-6-26,value-6-27,value-6-28,value-6-29,value-6-30,value-6-31,value-6-32,value-6-33,value-6-34,value-6-35,value-6-36,value-6-37,value-6-38,value-6-39,value-6-40,value-6-41,value-6-42,value-6-43,value-6-44,value-6-45,value-6-46,value-6-47,value-6-48,value-6-49,value-6-50,value-6-51
Cash at bank,100007,NZD,2026-05-31,value-7-1,value-7-2,value-7-3,value-7-4,value-7-5,value-7-6,value-7-7,value-7-8,value-7-9,value-7-10,value-7-11,value-7-12,value-7-13,value-7-14,value-7-15,value-7-16,value-7-17,value-7-18,value-7-19,value-7-20,value-7-21,value-7-22,value-7-23,value-7-24,value-7-25,value-7-26,value-7-27,value-7-28,value-7-29,value-7-30,value-7-31,value-7-32,value-7-33,value-7-34,value-7-35,value-7-36,value-7-37,value-7-38,value-7-39,value-7-40,value-7-41,value-7-42,value-7-43,value-7-44,value-7-45,value-7-46,value-7-47,value-7-48,value-7-49,value-7-50,value-7-51
Monthly revenue,100008,NZD,2026-05-31,value-8-1,value-8-2,value-8-3,value-8-4,value-8-5,value-8-6,value-8-7,value-8-8,value-8-9,value-8-10,value-8-11,value-8-12,value-8-13,value-8-14,value-8-15,value-8-16,value-8-17,value-8-18,value-8-19,value-8-20,value-8-21,value-8-22,value-8-23,value-8-24,value-8-25,value-8-26,value-8-27,value-8-28,value-8-29,value-8-30,value-8-31,value-8-32,value-8-33,value-8-34,value-8-35,value-8-36,value-8-37,value-8-38,value-8-39,value-8-40,value-8-41,value-8-42,value-8-43,value-8-44,value-8-45,value-8-46,value-8-47,value-8-48,value-8-49,value-8-50,value-8-51
Cash at bank,100009,NZD,2026-05-31,value-9-1,value-9-2,value-9-3,value-9-4,value-9-5,value-9-6,value-9-7,value-9-8,value-9-9,value-9-10,value-9-11,value-9-12,value-9-13,value-9-14,value-9-15,value-9-16,value-9-17,value-9-18,value-9-19,value-9-20,value-9-21,value-9-22,value-9-23,value-9-24,value-9-25,value-9-26,value-9-27,value-9-28,value-9-29,value-9-30,value-9-31,value-9-32,value-9-33,value-9-34,value-9-35,value-9-36,value-9-37,value-9-38,value-9-39,value-9-40,value-9-41,value-9-42,value-9-43,value-9-44,value-9-45,value-9-46,value-9-47,value-9-48,value-9-49,value-9-50,value-9-51
Monthly revenue,100010,NZD,2026-05-31,value-10-1,value-10-2,value-10-3,value-10-4,value-10-5,value-10-6,value-10-7,value-10-8,value-10-9,value-10-10,value-10-11,value-10-12,value-10-13,value-10-14,value-10-15,value-10-16,value-10-17,value-10-18,value-10-19,value-10-20,value-10-21,value-10-22,value-10-23,value-10-24,value-10-25,value-10-26,value-10-27,value-10-28,value-10-29,value-10-30,value-10-31,value-10-32,value-10-33,value-10-34,value-10-35,value-10-36,value-10-37,value-10-38,value-10-39,value-10-40,value-10-41,value-10-42,value-10-43,value-10-44,value-10-45,value-10-46,value-10-47,value-10-48,value-10-49,value-10-50,value-10-51
